year_month,active_listings,entire_home_count,avg_price,avg_rating
2018-03,45,43,365.5111111111111,4.902
2018-04,45,43,365.5111111111111,4.902
2018-05,45,43,365.5111111111111,4.902
2018-06,45,43,365.5111111111111,4.902
2018-07,45,43,365.5111111111111,4.902
2018-08,45,43,365.5111111111111,4.902
2018-09,45,43,365.5111111111111,4.902
2018-10,45,43,365.5111111111111,4.902
2018-11,45,43,365.5111111111111,4.902
2018-12,45,43,365.5111111111111,4.902
2019-01,60,58,365.68333333333334,4.905666666666666
2019-02,60,58,365.68333333333334,4.905666666666666
2019-03,61,59,367.62295081967216,4.904262295081968
2019-04,61,59,367.62295081967216,4.904262295081968
2019-05,61,59,367.62295081967216,4.904262295081968
2019-06,61,59,367.62295081967216,4.904262295081968
2019-07,61,59,367.62295081967216,4.904262295081968
2019-08,61,59,367.62295081967216,4.904262295081968
2019-09,61,59,367.62295081967216,4.904262295081968
2019-10,61,59,367.62295081967216,4.904262295081968
2019-11,61,59,367.62295081967216,4.904262295081968
2019-12,61,59,367.62295081967216,4.904262295081968
2020-01,80,78,357.979125,4.897875
2020-02,83,81,358.0642168674699,4.896385542168675
2020-03,84,82,358.05154761904765,4.8966666666666665
2020-04,84,82,358.05154761904765,4.8966666666666665
2020-05,84,82,358.05154761904765,4.8966666666666665
2020-06,84,82,358.05154761904765,4.8966666666666665
2020-07,84,82,358.05154761904765,4.8966666666666665
2020-08,84,82,358.05154761904765,4.8966666666666665
2020-09,84,82,358.05154761904765,4.8966666666666665
2020-10,84,82,358.05154761904765,4.8966666666666665
2020-11,84,82,358.05154761904765,4.8966666666666665
2020-12,84,82,358.05154761904765,4.8966666666666665
2021-01,99,97,370.81141414141416,4.894444444444445
2021-02,103,100,370.4498058252427,4.89368932038835
2021-03,109,106,372.6177064220184,4.896880733944954
2021-04,109,106,372.6177064220184,4.896880733944954
2021-05,109,106,372.6177064220184,4.896880733944954
2021-06,109,106,372.6177064220184,4.896880733944954
2021-07,109,106,372.6177064220184,4.896880733944954
2021-08,109,106,372.6177064220184,4.896880733944954
2021-09,109,106,372.6177064220184,4.896880733944954
2021-10,109,106,372.6177064220184,4.896880733944954
2021-11,109,106,372.6177064220184,4.896880733944954
2021-12,109,106,372.6177064220184,4.896880733944954
2022-01,134,131,371.27985074626866,4.896119402985075
2022-02,137,134,369.95255474452557,4.8957664233576645
2022-03,143,140,365.0244755244755,4.897342657342658
2022-04,143,140,365.0244755244755,4.897342657342658
2022-05,143,140,365.0244755244755,4.897342657342658
2022-06,143,140,365.0244755244755,4.897342657342658
2022-07,143,140,365.0244755244755,4.897342657342658
2022-08,143,140,365.0244755244755,4.897342657342658
2022-09,143,140,365.0244755244755,4.897342657342658
2022-10,143,140,365.0244755244755,4.897342657342658
2022-11,143,140,365.0244755244755,4.897342657342658
2022-12,143,140,365.0244755244755,4.897342657342658
2023-01,179,176,371.91340782122904,4.895027932960894
2023-02,182,179,372.6456043956044,4.894725274725275
2023-03,187,184,372.30748663101605,4.894705882352942
2023-04,187,184,372.30748663101605,4.894705882352942
2023-05,187,184,372.30748663101605,4.894705882352942
2023-06,187,184,372.30748663101605,4.894705882352942
2023-07,187,184,372.30748663101605,4.894705882352942
2023-08,187,184,372.30748663101605,4.894705882352942
2023-09,187,184,372.30748663101605,4.894705882352942
2023-10,187,184,372.30748663101605,4.894705882352942
2023-11,187,184,372.30748663101605,4.894705882352942
2023-12,187,184,372.30748663101605,4.894705882352942
2024-01,240,237,374.9604166666667,4.896625
2024-02,246,243,376.4085365853659,4.895853658536586
2024-03,249,246,378.63654618473896,4.895542168674699
2024-04,249,246,378.63654618473896,4.895542168674699
2024-05,249,246,378.63654618473896,4.895542168674699
2024-06,249,246,378.63654618473896,4.895542168674699
2024-07,249,246,378.63654618473896,4.895542168674699
2024-08,249,246,378.63654618473896,4.895542168674699
2024-09,249,246,378.63654618473896,4.895542168674699
2024-10,249,246,378.63654618473896,4.895542168674699
2024-11,249,246,378.63654618473896,4.895542168674699
2024-12,249,246,378.63654618473896,4.895542168674699
2025-01,425,410,387.4678352941176,4.8948
2025-02,533,503,384.71825515947467,4.892039911308204
2025-03,533,503,384.71825515947467,4.892039911308204
