listing_id,year_month,year,month_num,search_zone,platform,room_type,is_entire_home,price_eur_night,lat,lng,review_count,avg_rating,is_superhost,active
879446374664863905,2023-05,2023,5,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-06,2023,6,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-07,2023,7,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-08,2023,8,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-09,2023,9,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-10,2023,10,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-11,2023,11,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2023-12,2023,12,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-01,2024,1,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-02,2024,2,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-03,2024,3,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-04,2024,4,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-05,2024,5,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-06,2024,6,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-07,2024,7,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-08,2024,8,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-09,2024,9,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-10,2024,10,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-11,2024,11,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2024-12,2024,12,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2025-01,2025,1,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2025-02,2025,2,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
879446374664863905,2025-03,2025,3,Blloku,airbnb,Entire home/apt,1,341.0,41.328680153698826,19.813829060711782,166,4.89,True,1
1206668432717512142,2019-01,2019,1,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-02,2019,2,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-03,2019,3,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-04,2019,4,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-05,2019,5,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-06,2019,6,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
1206668432717512142,2019-07,2019,7,Blloku,airbnb,Entire home/apt,1,321.0,41.32435,19.81024,187,4.9,True,1
