room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,120,4.95,1,1,4,2,3,41.3291,19.82371,Myslym Shyri,0.584,1,1,48,2021,392.0,0,5.973809611869261,established,premium
Entire home/apt,275,4.82,0,1,1,1,3,41.33101,19.824997,Myslym Shyri,0.8,1,1,84,2018,349.0,1,5.857933154483459,veteran,premium
Entire home/apt,117,4.86,1,1,1,1,3,41.32233644279398,19.81373816728592,Blloku,0.795,1,1,47,2022,550.0,0,6.311734809152915,established,luxury
Entire home/apt,96,4.99,1,1,2,1,4,41.332757834991696,19.82359081071041,Myslym Shyri,0.797,1,1,38,2022,377.0,0,5.934894195619588,established,premium
Entire home/apt,118,4.79,1,1,1,1,3,41.33259,19.81557,Blloku,0.663,1,1,47,2022,272.0,0,5.60947179518496,established,mid
Entire home/apt,232,4.81,0,1,2,1,3,41.33115,19.82022,Pazari i Ri,0.439,1,1,84,2018,394.0,1,5.978885764901122,veteran,premium
Entire home/apt,21,4.76,0,1,1,1,4,41.33073746525499,19.82009231177825,Pazari i Ri,0.391,1,1,8,2025,399.0,0,5.991464547107982,active,premium
Entire home/apt,90,4.97,1,1,2,1,4,41.33375,19.82175,Myslym Shyri,0.772,1,1,36,2022,286.0,0,5.659482215759621,established,mid
Entire home/apt,210,4.97,1,2,2,2,4,41.32879,19.81872,Blloku,0.143,1,1,84,2018,697.0,1,6.548219102762372,veteran,luxury
Entire home/apt,161,4.75,0,1,1,1,2,41.32395,19.8154,Blloku,0.538,1,1,64,2020,246.0,1,5.5093883366279774,veteran,mid
Entire home/apt,233,4.92,1,1,2,1,3,41.33063,19.82564,Myslym Shyri,0.845,1,1,84,2018,268.0,1,5.594711379601839,veteran,mid
Entire home/apt,259,4.89,1,1,1,1,3,41.3230170425361,19.816852882504463,Blloku,0.538,1,1,84,2018,298.0,1,5.700443573390686,veteran,mid
