name,search_zone,neighborhood
Central Flat Full Of Sun*Free Underground Parking*,Blloku,Pazari i Ri
Cozy 2-Bedroom Apartment in the Heart of Blloku,Blloku,Blloku
Studio Tirana Center,Blloku,Myslym Shyri
Sieras Brand new Apartment,Kombinat,Kombinat
63’Bs *Condor Studio,Kombinat,Kombinat
Amazing view near Blloku apartment,Kombinat,Blloku
Lively Center of Tirana,Kombinat,Kombinat
Urban Oasis,Kombinat,Kombinat
Modern Palm Escape with Parking,Kombinat,Kombinat
Premium 2 Bedrooms Villa Apt | Balcony & Parking,Kombinat,Kombinat
Luxury Studio,Kombinat,Kombinat
Unique Luxury SPA & Sauna Apartment - Bllok Tirana,Kombinat,Kombinat
Urban Escape Apartment,Kombinat,Kombinat
Luxury Residence 2 Bedroom Luxurious Apartment,Kombinat,Shkoza
Roza's Apartment Tirana Central,Kombinat,Kombinat
Urban City Apartment_Deluxe,Kombinat,Blloku
Floating bed,Kombinat,Kombinat
Cozy Flat | Quiet & Stylish 1BR near Blloku & Lake,Kombinat,Kombinat
Luma Duplex Penthouse by Kondo Stays,Kombinat,Kombinat
Tarraca House,Kombinat,Kombinat
Rolling Apartment Tirana - Near Blloku,Kombinat,Kombinat
Cityscape Tirana 2,Kombinat,Kombinat
"Kika Shanti, Studio, near Artificial Lake",Kombinat,Kombinat
Brand new apartment in a secure building complex,Kombinat,Kombinat
Fiona’s apartment,Kombinat,Kombinat
Mimosa’s Apartment with lovely balcony,Kombinat,Kombinat
Comfortable one bedroom apartment in city center,Kombinat,Blloku
The Exquisite,Kombinat,Kombinat
Cozy 2 Bedroom apartment!,Kombinat,Kombinat
Cozy Apartament,Kombinat,Kombinat
The White Rose Apartment,Kombinat,Blloku
bianco appartment,Kombinat,Kombinat
Miku Apartment-Upscale 2BD With  Spectacular View,Kombinat,Kombinat
Chic Retreat near Tirana's Lake,Kombinat,Kombinat
Central Tirana Oasis – 2nd Floor with Green Views,Kombinat,Kombinat
Fleeville Vicky's Apartment,Kombinat,Blloku
Nuçi's Place 1 - Warm Apt w/bal. 15 min from Bllok,Kombinat,Kombinat
EL-XHO Apartament  102,Kombinat,Kombinat
The Capital Apartment's,Kombinat,Kombinat
Horta’s Home 02,Kombinat,Blloku
Relaxing Apartment near Botanical Garden & Lake,Kombinat,Shkoza
New stylish apartment,Kombinat,Kombinat
Casa del Sol by Kondo Stays,Kombinat,Kombinat
Cozy Apartment Center in Myslym Shyri,Kombinat,Blloku
City Center GuestHouse,Kombinat,Kombinat
New apartment with huge balcony,Kombinat,Kombinat
B44 Apartment Tirana - Self check-in,Kombinat,Kombinat
SELA Studios – Central Stay | Self Check-In,Kombinat,Kombinat
"Tirana Hideaways, Breathtaking View + Free Parking",Kombinat,Shkoza
Oasis Retreat | Spacious | near Lake & Grand Park,Kombinat,Shkoza
Traditional Albanian Cabin,Kombinat,Kombinat
Lana River modern apartment,Kombinat,Kombinat
"Cityscape Tirana: 2BR Kavaja St, 11 FL, Dajti View",Kombinat,Kombinat
Tera Flat,Kombinat,Kombinat
"Lovely, Central Apartment  24H Self Check-In",Kombinat,Blloku
Comfortable studio flat at Smooth Rentals,Kombinat,Kombinat
Central Luxury apartment by Lake!,Kombinat,Shkoza
Bright & Spacious 2BR/2BA | City Walkable,Kombinat,Blloku
Tirana Sunset View Veranda Studio,Kombinat,Kombinat
Silver Apartments Delijorgji,Kombinat,Kombinat
Amary's home!,Kombinat,Blloku
Downtown Ethnica @ Enjoy Albania,Kombinat,Blloku
Imagination Inn — 2,Kombinat,Blloku
Urban Luxury Apartment 1,Kombinat,Blloku
Eja Apartment 4,Kombinat,Kombinat
Modern Apartment Near The Center With Free Parking,Kombinat,Kombinat
Spacious Family Apartment in the Centre of Tirana,Kombinat,Kombinat
TRiPartments - Paris,Kombinat,Blloku
Stylish two bedroom house with private pool,Kombinat,Kombinat
Tirana Stylish Stay,Kombinat,Kombinat
Modern Two Bedrooms Haven*Free Private Parking*,Kombinat,Kombinat
TRiPartments - Solaris,Kombinat,Kombinat
Bllok Scandi Apartments 1,Kombinat,Shkoza
Stylish 1BR Retreat in Vibrant neighborhood,Kombinat,Kombinat
Kika Residence-Perfect 1 Bedroom Apartment,Kombinat,Kombinat
Cozy and Comfy room in Myslym Shyri,Kombinat,Kombinat
Superior Apartment with Balcony,Kombinat,Kombinat
Luxury Residence Skyline,Kombinat,Kombinat
Roza's Studio Tirana Center,Kombinat,Blloku
Altura Apartment by Kondo Stays,Kombinat,Blloku
Olive Garden Terracotta Apartment,Kombinat,Kombinat
Comfortable studio apartment,Kombinat,Kombinat
Cozy Urban Apartment,Kombinat,Kombinat
Skyline urban retreat,Kinostudio,Kinostudio
AK Studio Apartment,Kinostudio,Don Bosko
2 Steps from city center apt.3.2,Kinostudio,Center
Rondine Studio Apartment,Kinostudio,Bulevardi
GEMS City Living,Kinostudio,Center
Quiet Apartment Near Downtown,Kinostudio,Don Bosko
Cozy 2BR Condo • Parking • WiFi • AC • Laundry,Kinostudio,Kinostudio
Mila's place,Kinostudio,Center
Alpha Apartments cozy & spacious,Kinostudio,Bulevardi
Niko's Apartment -1,Kinostudio,Center
Central Reach Apartment | 10 Min Walk from Center,Kinostudio,Center
"Modern Duplex, Central Tirana, Patio, Speed WiFi",Kinostudio,Liqeni
Azurè Veranda 1,Kinostudio,Center
Bliss Apartment,Kinostudio,Kinostudio
Wendy apartments,Kinostudio,Center
DeLux Suite 104,Kinostudio,Center
Huqi Luxury Apartments 2,Kinostudio,Center
Tirana apartment,Kinostudio,Liqeni
Urban Oasis | East of Tirana,Kinostudio,Kinostudio
2 Steps from city center apt 3.1,Kinostudio,Center
Azurè Apartments Luxe 1,Kinostudio,Center
Ajan's Guesthouse,Kinostudio,Liqeni
Hortus Aurantii,Kinostudio,Center
Sunflower Apartment,Kinostudio,Don Bosko
House NANI,Kinostudio,Kinostudio
"Cosy, private apartment in a family villa",Kinostudio,Kinostudio
Modern Comfort | Near City Center,Kinostudio,Kinostudio
Lofty Vibe Tirana,Kinostudio,Center
Bright Modern Designer Apartment,Kinostudio,Kinostudio
Charming Comfort apartment,Kinostudio,Center
Velora Apartment Tirana,Kinostudio,Kinostudio
Solei’s Apartament,Kinostudio,Kinostudio
Ali Demi Apartment Comfortable Tirana Retreat,Kinostudio,Center
Oxhaku’s Apartment,Kinostudio,Liqeni
2 Steps from city center apt 3.4,Kinostudio,Center
Restup Apartments in Tirana 1+1,Kinostudio,Center
Chestnut Yard - Apt garden view,Kinostudio,Liqeni
"""The Garden Loft"" modern apartment in Tirana",Kinostudio,Kinostudio
"MI&DA Apartments, FREE Parking Garage underground",Kinostudio,Don Bosko
Huqi Luxury Apartments 1,Kinostudio,Center
TOMEI Apartment | Stunning City & Mountain View,Kinostudio,Kinostudio
Sunshine Place,Kinostudio,Kinostudio
Cozzy Appartment with Great View and Free Parking,Kinostudio,Kinostudio
Vila Tafa apartments.Just like home. ap 3,Kinostudio,Center
Newly Renovated Urban Oasis,Kinostudio,Kinostudio
Cityscape Oasis,Kinostudio,Liqeni
Central Azurè Apartments,Kinostudio,Center
Te Amantia Apartment,Kinostudio,Kinostudio
Amna's Apartment in Tirana 24H Self Check-in,Kinostudio,Liqeni
Cozy Studio near Tirana center,Kinostudio,Center
Magas Tirana Apartment Near Center,Kinostudio,Center
"Feel at home,ap1.",Kinostudio,Center
Apartament Near the City Center,Kinostudio,Center
Modern Apartment with Terrace-Tirana Luxury living,Kinostudio,Kinostudio
Wendy studio,Kinostudio,Center
Veranda duplex,Kinostudio,Kinostudio
Urban Oasis Mount View,Kinostudio,Kinostudio
