name,neighborhood,search_zone,lat,lng,est_start_year
The 5th Element-Central Tirana,Selvia,Blloku,41.33155223095277,19.811049588024616,2024
Spacious for 4 Guests+Free Parking –Central Tirana,Myslym Shyri,Blloku,41.33140595746251,19.824650842395712,2020
Amazing  Top Floor Apartment in the City Center,Pazari i Ri,Blloku,41.32471405128257,19.82562622055412,2018
Alta Vista 2 Bedrooms •City View & Private Parking,Blloku,Blloku,41.33451862864247,19.81871031224728,2025
Oasis Rooftop Apartment with terrace/city center,Blloku,Blloku,41.32704,19.81136,2020
UpTown Apartment - Bllok Area,Blloku,Blloku,41.32255196921301,19.8177195712924,2018
Modern New Bazaar Apartment,Myslym Shyri,Blloku,41.33086,19.82528,2019
Midtown Studio Apartment-Central 5th,Blloku,Blloku,41.3305823039337,19.81007843249077,2023
Vista Luxe Balcony *Free Private Parking*,Blloku,Blloku,41.33469436148405,19.818654656410217,2022
"Top Floor Apartment
City Center",Pazari i Ri,Blloku,41.332737,19.819708,2018
Rooftop Apartments Nr:4,Myslym Shyri,Blloku,41.33162,19.82402,2021
3.City Center Studio-Boulevard View.,Blloku,Blloku,41.32216,19.81846,2018
Deluxe Room 25 Blloku Area,Blloku,Blloku,41.32071,19.81577,2020
Centerbestview of Tirana,Pazari i Ri,Blloku,41.329567,19.822208,2018
Central Kavaja Flat II w/ 24H Self checkin,Blloku,Blloku,41.32911917960718,19.81271356344223,2025
Skanderbeg Deluxe A @ Enjoy Albania Apartments,Blloku,Blloku,41.327032,19.814839,2018
MiddleNest Central apartment,Blloku,Blloku,41.32546793011254,19.816858246922493,2022
Chic 3BR Downtown – AC & secure Parking,Myslym Shyri,Blloku,41.33311,19.82318,2020
Prime City Central *Free Underground Parking*,Blloku,Blloku,41.33442624667043,19.818711318075657,2025
Top Floor Apartment With Amazing City View,Pazari i Ri,Blloku,41.32479295441989,19.82564901933074,2018
The Glass Pyramid,Blloku,Blloku,41.3238505521993,19.81292592796032,2019
Exclusive Central Premium Oasis 2 Bedrooms,Blloku,Blloku,41.33101999937817,19.81470644474029,2022
Central Flat Tirana,Blloku,Blloku,41.32491878046042,19.81355560743472,2019
Rooftop Apartments Nr.3,Myslym Shyri,Blloku,41.33227,19.82287,2023
Skanderbeg Deluxe B @ Enjoy Albania Apartments,Blloku,Blloku,41.327032,19.814839,2018
Luxurious Central Apartment,Blloku,Blloku,41.32314865575481,19.812108539672867,2020
Flora Coffee modern apt 2,Blloku,Blloku,41.3311911,19.8145153,2020
Entire Apartment - Tiranë Centre (2),Pazari i Ri,Blloku,41.329956,19.821524,2018
Tirana Center Apartment - One bedroom!,Blloku,Blloku,41.3242416381836,19.81641387939453,2020
Tirana Center Apartment - Two bedroom!,Blloku,Blloku,41.32355499267578,19.81560516357422,2023
Mabel Apartments,Myslym Shyri,Blloku,41.33160383008534,19.827793277800083,2022
Roomy Central 1,Pazari i Ri,Blloku,41.33115840914667,19.819958813120337,2023
Skanderbeg Sunset View @ Enjoy Albania Apartments,Pazari i Ri,Blloku,41.33103250360311,19.82172803010256,2025
Downtown Deluxe @ Enjoy Albania Apartments,Blloku,Blloku,41.3238756888111,19.812798924853528,2020
